"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"ASC1" "OTHER" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"EAF5" "OTHER" "1" "EAF5" "S. cerevisiae" "Esa1p-Associated Factor" "840" "YEL018W" "S000000744" "ORF"
"SIW14" "OTHER" "1" "SIW14" "S. cerevisiae" "Synthetic Interaction with Whi2" "846" "YNL032W" "S000004977" "ORF"
"MFT1" "OTHER" "1" "MFT1" "S. cerevisiae" "Mitochondrial Fusion Targeting" "1179" "YML062C" "S000004527" "ORF"
"DSS1" "OTHER" "1" "DSS1" "S. cerevisiae" "Deletion of SUV3 Supressor" "2910" "YMR287C" "S000004900" "ORF"
"DID4" "OTHER" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"VPS71" "OTHER" "1" "VPS71" "S. cerevisiae" "Vacuolar Protein Sorting" "843" "YML041C" "S000004505" "ORF"
"SAS5" "OTHER" "1" "SAS5" "S. cerevisiae" "Something About Silencing" "747" "YOR213C" "S000005739" "ORF"
"TLC1" "OTHER" "1" "TLC1" "" "TeLomerase Component" "" "YNCB0010W" "S000006657" "TelomeraseRNAGene"
"ELA1" "OTHER" "1" "ELA1" "S. cerevisiae" "ELongin A" "1140" "YNL230C" "S000005174" "ORF"
"RPA12" "OTHER" "1" "RPA12" "S. cerevisiae" "RNA Polymerase A" "378" "YJR063W" "S000003824" "ORF"
"DPB3" "OTHER" "1" "DPB3" "S. cerevisiae" "DNA Polymerase B (II) subunit" "606" "YBR278W" "S000000482" "ORF"
"GTR1" "OTHER" "1" "GTR1" "S. cerevisiae" "GTp binding protein Resemblance" "933" "YML121W" "S000004590" "ORF"
"CST6" "OTHER" "1" "CST6" "S. cerevisiae" "Chromosome STability" "1764" "YIL036W" "S000001298" "ORF"
"MAC1" "OTHER" "1" "MAC1" "S. cerevisiae" "Metal binding ACtivator" "1254" "YMR021C" "S000004623" "ORF"
"VPS25" "OTHER" "1" "VPS25" "S. cerevisiae" "Vacuolar Protein Sorting" "609" "YJR102C" "S000003863" "ORF"
"ERG2" "OTHER" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"RPH1" "OTHER" "1" "RPH1" "S. cerevisiae" "Regulator of PHR1" "2391" "YER169W" "S000000971" "ORF"
"PAF1" "OTHER" "1" "PAF1" "S. cerevisiae" "RNA Polymerase II Associated Factor" "1338" "YBR279W" "S000000483" "ORF"
"URC2" "OTHER" "1" "URC2" "S. cerevisiae" "URacil Catabolism" "2319" "YDR520C" "S000002928" "ORF"
"SDS3" "OTHER" "1" "SDS3" "S. cerevisiae" "Suppressor of Defective Silencing" "984" "YIL084C" "S000001346" "ORF"
"MRT4" "OTHER" "1" "MRT4" "S. cerevisiae" "mRNA Turnover 4" "711" "YKL009W" "S000001492" "ORF"
"BUD22" "OTHER" "1" "BUD22" "S. cerevisiae" "BUD site selection" "1560" "YMR014W" "S000004616" "ORF"
"URA7" "OTHER" "1" "URA7" "S. cerevisiae" "URAcil requiring" "1740" "YBL039C" "S000000135" "ORF"
"RFX1" "OTHER" "1" "RFX1" "S. cerevisiae" "Regulatory Factor X" "2436" "YLR176C" "S000004166" "ORF"
"SAE2" "OTHER" "1" "SAE2" "S. cerevisiae" "Sporulation in the Absence of spo Eleven" "1038" "YGL175C" "S000003143" "ORF"
"TUB3" "OTHER" "1" "TUB3" "S. cerevisiae" "TUBulin" "1636" "YML124C" "S000004593" "ORF"
"VPS72" "OTHER" "1" "VPS72" "S. cerevisiae" "Vacuolar Protein Sorting" "2388" "YDR485C" "S000002893" "ORF"
"URM1" "OTHER" "1" "URM1" "S. cerevisiae" "Ubiquitin Related Modifier" "300" "YIL008W" "S000001270" "ORF"
"HIR1" "OTHER" "1" "HIR1" "S. cerevisiae" "HIstone Regulation" "2523" "YBL008W" "S000000104" "ORF"
"SCP160" "OTHER" "1" "SCP160" "S. cerevisiae" "S. cerevisiae protein involved in the Control of Ploidy" "3669" "YJL080C" "S000003616" "ORF"
"YER064C" "OTHER" "1" "VHR2" "S. cerevisiae" "VHt1 Regulator" "1518" "YER064C" "S000000866" "ORF"
"PDE2" "OTHER" "1" "PDE2" "S. cerevisiae" "PhosphoDiEsterase" "1581" "YOR360C" "S000005887" "ORF"
"SNF4" "OTHER" "1" "SNF4" "S. cerevisiae" "Sucrose NonFermenting" "969" "YGL115W" "S000003083" "ORF"
"HDA2" "OTHER" "1" "HDA2" "S. cerevisiae" "Histone DeAcetylase" "2025" "YDR295C" "S000002703" "ORF"
"IOC3" "OTHER" "1" "IOC3" "S. cerevisiae" "Iswi One Complex" "2364" "YFR013W" "S000001909" "ORF"
"RIM101" "OTHER" "1" "RIM101" "S. cerevisiae" "Regulator of IME2" "1878" "YHL027W" "S000001019" "ORF"
"CCE1" "OTHER" "1" "CCE1" "S. cerevisiae" "Cruciform Cutting Endonuclease" "1062" "YKL011C" "S000001494" "ORF"
"CTF8" "OTHER" "1" "CTF8" "S. cerevisiae" "Chromosome Transmission Fidelity" "402" "YHR191C" "S000001234" "ORF"
"GAL80" "OTHER" "1" "GAL80" "S. cerevisiae" "GALactose metabolism" "1308" "YML051W" "S000004515" "ORF"
"SUM1" "OTHER" "1" "SUM1" "S. cerevisiae" "SUppresor of Mar1-1" "3189" "YDR310C" "S000002718" "ORF"
"HMO1" "OTHER" "1" "HMO1" "S. cerevisiae" "High MObility group (HMG) family" "741" "YDR174W" "S000002581" "ORF"
"TOM1" "OTHER" "1" "TOM1" "S. cerevisiae" "Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis" "9807" "YDR457W" "S000002865" "ORF"
"SAP190" "OTHER" "1" "SAP190" "S. cerevisiae" "Sit4 Associated Protein" "3102" "YKR028W" "S000001736" "ORF"
"LDB7" "OTHER" "1" "LDB7" "S. cerevisiae" "Low Dye Binding" "543" "YBL006C" "S000000102" "ORF"
"PUS9" "OTHER" "1" "PUS9" "S. cerevisiae" "PseudoUridine Synthase" "1389" "YDL036C" "S000002194" "ORF"
"YJL206C" "OTHER" "1" "" "S. cerevisiae" "" "2277" "YJL206C" "S000003741" "ORF"
"DIG2" "OTHER" "1" "DIG2" "S. cerevisiae" "Down-regulator of Invasive Growth" "972" "YDR480W" "S000002888" "ORF"
"PFK2" "OTHER" "1" "PFK2" "S. cerevisiae" "PhosphoFructoKinase" "2880" "YMR205C" "S000004818" "ORF"
"BIK1" "OTHER" "1" "BIK1" "S. cerevisiae" "BIlateral Karyogamy defect" "1323" "YCL029C" "S000000534" "ORF"
"PHO80" "OTHER" "1" "PHO80" "S. cerevisiae" "PHOsphate metabolism" "882" "YOL001W" "S000005361" "ORF"
"RXT3" "OTHER" "1" "RXT3" "S. cerevisiae" "" "885" "YDL076C" "S000002234" "ORF"
"TFB5" "OTHER" "1" "TFB5" "S. cerevisiae" "" "219" "YDR079C-A" "S000007603" "ORF"
"SNF6" "OTHER" "1" "SNF6" "S. cerevisiae" "Sucrose NonFermenting" "999" "YHL025W" "S000001017" "ORF"
"MSI1" "OTHER" "1" "MSI1" "S. cerevisiae" "Multicopy Suppressor of IRA1" "1269" "YBR195C" "S000000399" "ORF"
"TLC1" "OTHER" "1" "TLC1" "" "TeLomerase Component" "" "YNCB0010W" "S000006657" "TelomeraseRNAGene"
"CLB2" "OTHER" "1" "CLB2" "S. cerevisiae" "CycLin B" "1476" "YPR119W" "S000006323" "ORF"
"HUR1" "OTHER" "1" "HUR1" "S. cerevisiae" "HydroxyUrea Resistance" "333" "YGL168W" "S000003136" "ORF"
"MUM2" "OTHER" "1" "MUM2" "S. cerevisiae" "MUddled Meiosis" "1101" "YBR057C" "S000000261" "ORF"
"OCA6" "OTHER" "1" "OCA6" "S. cerevisiae" "Oxidant-induced Cell-cycle Arrest" "675" "YDR067C" "S000002474" "ORF"
"YPT7" "OTHER" "1" "YPT7" "S. cerevisiae" "Yeast Protein Two" "627" "YML001W" "S000004460" "ORF"
"YAF9" "OTHER" "1" "YAF9" "S. cerevisiae" "Yeast homolog of the human leukemogenic protein AF9" "681" "YNL107W" "S000005051" "ORF"
"CKB1" "OTHER" "1" "CKB1" "S. cerevisiae" "Casein Kinase Beta subunit" "837" "YGL019W" "S000002987" "ORF"
"ELG1" "OTHER" "1" "ELG1" "S. cerevisiae" "Enhanced Level of Genomic instability" "2376" "YOR144C" "S000005670" "ORF"
"PCL8" "OTHER" "1" "PCL8" "S. cerevisiae" "Pho85 CycLin" "1479" "YPL219W" "S000006140" "ORF"
"PFK1" "OTHER" "1" "PFK1" "S. cerevisiae" "PhosphoFructoKinase" "2964" "YGR240C" "S000003472" "ORF"
"FZF1" "OTHER" "1" "FZF1" "S. cerevisiae" "Five Zinc Fingers" "900" "YGL254W" "S000003223" "ORF"
"NTH2" "OTHER" "1" "NTH2" "S. cerevisiae" "Neutral TreHalase" "2343" "YBR001C" "S000000205" "ORF"
"PML39" "OTHER" "1" "PML39" "S. cerevisiae" "Pre-mRNA Leakage" "1005" "YML107C" "S000004575" "ORF"
"PHO80" "OTHER" "1" "PHO80" "S. cerevisiae" "PHOsphate metabolism" "882" "YOL001W" "S000005361" "ORF"
"SPT2" "OTHER" "1" "SPT2" "S. cerevisiae" "SuPpressor of Ty's" "1002" "YER161C" "S000000963" "ORF"
"MUD2" "OTHER" "1" "MUD2" "S. cerevisiae" "Mutant U1 Die" "1584" "YKL074C" "S000001557" "ORF"
"SRN2" "OTHER" "1" "SRN2" "S. cerevisiae" "Suppressor of Rna mutations, Number 2" "642" "YLR119W" "S000004109" "ORF"
"URN1" "OTHER" "1" "URN1" "S. cerevisiae" "U2-U5-U6 snRNP, RES complex, and NTC interacting protein" "1398" "YPR152C" "S000006356" "ORF"
"HEH2" "OTHER" "1" "HEH2" "S. cerevisiae" "Helix-Extension-Helix domain" "1992" "YDR458C" "S000002866" "ORF"
"VPS15" "OTHER" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"IES5" "OTHER" "1" "IES5" "S. cerevisiae" "Ino Eighty Subunit" "378" "YER092W" "S000000894" "ORF"
"ELG1" "OTHER" "1" "ELG1" "S. cerevisiae" "Enhanced Level of Genomic instability" "2376" "YOR144C" "S000005670" "ORF"
"SIR4" "OTHER" "1" "SIR4" "S. cerevisiae" "Silent Information Regulator" "4077" "YDR227W" "S000002635" "ORF"
"HSE1" "OTHER" "1" "HSE1" "S. cerevisiae" "Has Symptoms of class E mutants; resembles Hbp, Stam and East" "1359" "YHL002W" "S000000994" "ORF"
"MBP1" "OTHER" "1" "MBP1" "S. cerevisiae" "MluI-box Binding Protein" "2502" "YDL056W" "S000002214" "ORF"
"TGS1" "OTHER" "1" "TGS1" "S. cerevisiae" "TrimethylGuanosine Synthase" "948" "YPL157W" "S000006078" "ORF"
"IES6" "OTHER" "1" "IES6" "S. cerevisiae" "Ino Eighty Subunit" "501" "YEL044W" "S000000770" "ORF"
"TFB5" "OTHER" "1" "TFB5" "S. cerevisiae" "" "219" "YDR079C-A" "S000007603" "ORF"
"NKP2" "OTHER" "1" "NKP2" "S. cerevisiae" "Non-essential Kinetochore Protein" "462" "YLR315W" "S000004307" "ORF"
"ATG10" "OTHER" "1" "ATG10" "S. cerevisiae" "AuTophaGy related" "504" "YLL042C" "S000003965" "ORF"
"CLB2" "OTHER" "1" "CLB2" "S. cerevisiae" "CycLin B" "1476" "YPR119W" "S000006323" "ORF"
"SIR4" "OTHER" "1" "SIR4" "S. cerevisiae" "Silent Information Regulator" "4077" "YDR227W" "S000002635" "ORF"
"NAM7" "OTHER" "1" "NAM7" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "2916" "YMR080C" "S000004685" "ORF"
"VPS15" "OTHER" "1" "VPS15" "S. cerevisiae" "Vacuolar Protein Sorting" "4365" "YBR097W" "S000000301" "ORF"
"SNF6" "OTHER" "1" "SNF6" "S. cerevisiae" "Sucrose NonFermenting" "999" "YHL025W" "S000001017" "ORF"
"PIN4" "OTHER" "1" "PIN4" "S. cerevisiae" "Psi+ INducibility" "2007" "YBL051C" "S000000147" "ORF"
"SNF11" "OTHER" "1" "SNF11" "S. cerevisiae" "Sucrose NonFermenting" "510" "YDR073W" "S000002480" "ORF"
"VAM3" "OTHER" "1" "VAM3" "S. cerevisiae" "VAcuolar Morphogenesis" "852" "YOR106W" "S000005632" "ORF"
"LSM1" "OTHER" "1" "LSM1" "S. cerevisiae" "Like SM" "519" "YJL124C" "S000003660" "ORF"
"ZAP1" "OTHER" "1" "ZAP1" "S. cerevisiae" "Zinc-responsive Activator Protein" "2643" "YJL056C" "S000003592" "ORF"
"ESC2" "OTHER" "1" "ESC2" "S. cerevisiae" "Establishment of Silent Chromatin" "1371" "YDR363W" "S000002771" "ORF"
"NPT1" "OTHER" "1" "NPT1" "S. cerevisiae" "Nicotinate PhosphoribosylTransferase" "1290" "YOR209C" "S000005735" "ORF"
"SUB1" "OTHER" "1" "SUB1" "S. cerevisiae" "SUppressor of TFIIB mutations" "879" "YMR039C" "S000004642" "ORF"
"ATG32" "OTHER" "1" "ATG32" "S. cerevisiae" "AuTophaGy related" "1590" "YIL146C" "S000001408" "ORF"
"FMP38" "OTHER" "1" "GEP3" "S. cerevisiae" "GEnetic interactors of Prohibitins" "1671" "YOR205C" "S000005731" "ORF"
"SRN2" "OTHER" "1" "SRN2" "S. cerevisiae" "Suppressor of Rna mutations, Number 2" "642" "YLR119W" "S000004109" "ORF"
"RIM15" "OTHER" "1" "RIM15" "S. cerevisiae" "Regulator of IME2" "5313" "YFL033C" "S000001861" "ORF"
"YKR023W" "OTHER" "1" "RQT4" "S. cerevisiae" "Ribosome-Quality control Trigger factor" "1593" "YKR023W" "S000001731" "ORF"
"IST3" "OTHER" "1" "IST3" "S. cerevisiae" "Increased Sodium Tolerance" "447" "YIR005W" "S000001444" "ORF"
"YPT6" "OTHER" "1" "YPT6" "S. cerevisiae" "Yeast Protein Two" "648" "YLR262C" "S000004252" "ORF"
"SPT2" "OTHER" "1" "SPT2" "S. cerevisiae" "SuPpressor of Ty's" "1002" "YER161C" "S000000963" "ORF"
"CDC40" "OTHER" "1" "CDC40" "S. cerevisiae" "Cell Division Cycle" "1368" "YDR364C" "S000002772" "ORF"
"TSL1" "OTHER" "1" "TSL1" "S. cerevisiae" "Trehalose Synthase Long chain" "3297" "YML100W" "S000004566" "ORF"
"HHF1" "OTHER" "1" "HHF1" "S. cerevisiae" "Histone H Four" "312" "YBR009C" "S000000213" "ORF"
"MSH1" "OTHER" "1" "MSH1" "S. cerevisiae" "MutS Homolog" "2880" "YHR120W" "S000001162" "ORF"
"HAP5" "OTHER" "1" "HAP5" "S. cerevisiae" "Heme Activator Protein" "729" "YOR358W" "S000005885" "ORF"
"TIF4631" "OTHER" "1" "TIF4631" "S. cerevisiae" "Translation Initiation Factor" "2859" "YGR162W" "S000003394" "ORF"
"CKB1" "OTHER" "1" "CKB1" "S. cerevisiae" "Casein Kinase Beta subunit" "837" "YGL019W" "S000002987" "ORF"
"SUB1" "OTHER" "1" "SUB1" "S. cerevisiae" "SUppressor of TFIIB mutations" "879" "YMR039C" "S000004642" "ORF"
"CAF40" "OTHER" "1" "CAF40" "S. cerevisiae" "CCR4 Associated Factor" "1122" "YNL288W" "S000005232" "ORF"
"TGS1" "OTHER" "1" "TGS1" "S. cerevisiae" "TrimethylGuanosine Synthase" "948" "YPL157W" "S000006078" "ORF"
"SAE2" "OTHER" "1" "SAE2" "S. cerevisiae" "Sporulation in the Absence of spo Eleven" "1038" "YGL175C" "S000003143" "ORF"
"NAM7" "OTHER" "1" "NAM7" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "2916" "YMR080C" "S000004685" "ORF"
"SNF11" "OTHER" "1" "SNF11" "S. cerevisiae" "Sucrose NonFermenting" "510" "YDR073W" "S000002480" "ORF"
"NFI1" "OTHER" "1" "NFI1" "S. cerevisiae" "Neck Filament Interacting" "2181" "YOR156C" "S000005682" "ORF"
"ELA1" "OTHER" "1" "ELA1" "S. cerevisiae" "ELongin A" "1140" "YNL230C" "S000005174" "ORF"
"MAC1" "OTHER" "1" "MAC1" "S. cerevisiae" "Metal binding ACtivator" "1254" "YMR021C" "S000004623" "ORF"
"DID4" "OTHER" "1" "DID4" "S. cerevisiae" "Doa4-Independent Degradation" "767" "YKL002W" "S000001485" "ORF"
"VAC8" "OTHER" "1" "VAC8" "S. cerevisiae" "VACuole related" "1737" "YEL013W" "S000000739" "ORF"
"RCM1" "OTHER" "1" "RCM1" "S. cerevisiae" "" "1473" "YNL022C" "S000004967" "ORF"
"HSE1" "OTHER" "1" "HSE1" "S. cerevisiae" "Has Symptoms of class E mutants; resembles Hbp, Stam and East" "1359" "YHL002W" "S000000994" "ORF"
"HST1" "OTHER" "1" "HST1" "S. cerevisiae" "Homolog of SIR Two (SIR2)" "1512" "YOL068C" "S000005429" "ORF"
"HAP2" "OTHER" "1" "HAP2" "S. cerevisiae" "Heme Activator Protein" "798" "YGL237C" "S000003206" "ORF"
"ESC2" "OTHER" "1" "ESC2" "S. cerevisiae" "Establishment of Silent Chromatin" "1371" "YDR363W" "S000002771" "ORF"
"ASC1" "OTHER" "1" "ASC1" "S. cerevisiae" "Absence of growth Suppressor of Cyp1" "1233" "YMR116C" "S000004722" "ORF"
"RXT3" "OTHER" "1" "RXT3" "S. cerevisiae" "" "885" "YDL076C" "S000002234" "ORF"
"CLB5" "OTHER" "1" "CLB5" "S. cerevisiae" "CycLin B" "1308" "YPR120C" "S000006324" "ORF"
"IOC3" "OTHER" "1" "IOC3" "S. cerevisiae" "Iswi One Complex" "2364" "YFR013W" "S000001909" "ORF"
"STB5" "OTHER" "1" "STB5" "S. cerevisiae" "Sin Three Binding protein" "2232" "YHR178W" "S000001221" "ORF"
"ASH1" "OTHER" "1" "ASH1" "S. cerevisiae" "Asymmetric Synthesis of HO" "1767" "YKL185W" "S000001668" "ORF"
"MET18" "OTHER" "1" "MET18" "S. cerevisiae" "METhionine requiring" "3099" "YIL128W" "S000001390" "ORF"
"ASI2" "OTHER" "1" "ASI2" "S. cerevisiae" "Amino acid Sensor-Independent" "870" "YNL159C" "S000005103" "ORF"
"RPN13" "OTHER" "1" "RPN13" "S. cerevisiae" "Regulatory Particle Non-ATPase" "471" "YLR421C" "S000004413" "ORF"
"HAP5" "OTHER" "1" "HAP5" "S. cerevisiae" "Heme Activator Protein" "729" "YOR358W" "S000005885" "ORF"
"SDC1" "OTHER" "1" "SDC1" "S. cerevisiae" "Set1c, homolog of Dpy30 from C.elegans" "528" "YDR469W" "S000002877" "ORF"
"SNF4" "OTHER" "1" "SNF4" "S. cerevisiae" "Sucrose NonFermenting" "969" "YGL115W" "S000003083" "ORF"
"NOP6" "OTHER" "1" "NOP6" "S. cerevisiae" "NucleOlar Protein" "678" "YDL213C" "S000002372" "ORF"
"VPS27" "OTHER" "1" "VPS27" "S. cerevisiae" "Vacuolar Protein Sorting" "1869" "YNR006W" "S000005289" "ORF"
"RAD5" "OTHER" "1" "RAD5" "S. cerevisiae" "RADiation sensitive" "3510" "YLR032W" "S000004022" "ORF"
"GAL80" "OTHER" "1" "GAL80" "S. cerevisiae" "GALactose metabolism" "1308" "YML051W" "S000004515" "ORF"
"URE2" "OTHER" "1" "URE2" "S. cerevisiae" "UREidosuccinate transport" "1065" "YNL229C" "S000005173" "ORF"
"SAS5" "OTHER" "1" "SAS5" "S. cerevisiae" "Something About Silencing" "747" "YOR213C" "S000005739" "ORF"
"RIM101" "OTHER" "1" "RIM101" "S. cerevisiae" "Regulator of IME2" "1878" "YHL027W" "S000001019" "ORF"
"RPH1" "OTHER" "1" "RPH1" "S. cerevisiae" "Regulator of PHR1" "2391" "YER169W" "S000000971" "ORF"
"PEX22" "OTHER" "1" "PEX22" "S. cerevisiae" "PEroXisome related" "543" "YAL055W" "S000000051" "ORF"
"PCL8" "OTHER" "1" "PCL8" "S. cerevisiae" "Pho85 CycLin" "1479" "YPL219W" "S000006140" "ORF"
"RPB9" "OTHER" "1" "RPB9" "S. cerevisiae" "RNA Polymerase B" "369" "YGL070C" "S000003038" "ORF"
"KAR3" "OTHER" "1" "KAR3" "S. cerevisiae" "KARyogamy" "2190" "YPR141C" "S000006345" "ORF"
"CDC26" "OTHER" "1" "CDC26" "S. cerevisiae" "Cell Division Cycle" "375" "YFR036W" "S000001932" "ORF"
"KIN82" "OTHER" "1" "KIN82" "S. cerevisiae" "protein KINase" "2163" "YCR091W" "S000000687" "ORF"
"PRE9" "OTHER" "1" "PRE9" "S. cerevisiae" "PRoteinase yscE" "777" "YGR135W" "S000003367" "ORF"
"MSI1" "OTHER" "1" "MSI1" "S. cerevisiae" "Multicopy Suppressor of IRA1" "1269" "YBR195C" "S000000399" "ORF"
"YGR071C" "OTHER" "1" "ENV11" "S. cerevisiae" "late ENdosome and Vacuole interface function" "2583" "YGR071C" "S000003303" "ORF"
"BIK1" "OTHER" "1" "BIK1" "S. cerevisiae" "BIlateral Karyogamy defect" "1323" "YCL029C" "S000000534" "ORF"
"PIF1" "OTHER" "1" "PIF1" "S. cerevisiae" "Petite Integration Frequency" "2580" "YML061C" "S000004526" "ORF"
"AFT1" "OTHER" "1" "AFT1" "S. cerevisiae" "Activator of Ferrous Transport" "2073" "YGL071W" "S000003039" "ORF"
"RTR1" "OTHER" "1" "RTR1" "S. cerevisiae" "Regulator of TRanscription" "681" "YER139C" "S000000941" "ORF"
"STE11" "OTHER" "1" "STE11" "S. cerevisiae" "STErile" "2154" "YLR362W" "S000004354" "ORF"
"RSC30" "OTHER" "1" "RSC30" "S. cerevisiae" "Remodel the Structure of Chromatin" "2652" "YHR056C" "S000001098" "ORF"
"CCE1" "OTHER" "1" "CCE1" "S. cerevisiae" "Cruciform Cutting Endonuclease" "1062" "YKL011C" "S000001494" "ORF"
"RPA49" "OTHER" "1" "RPA49" "S. cerevisiae" "RNA Polymerase A" "1248" "YNL248C" "S000005192" "ORF"
"LDB7" "OTHER" "1" "LDB7" "S. cerevisiae" "Low Dye Binding" "543" "YBL006C" "S000000102" "ORF"
"RTT106" "OTHER" "1" "RTT106" "S. cerevisiae" "Regulator of Ty1 Transposition" "1368" "YNL206C" "S000005150" "ORF"
"MUM2" "OTHER" "1" "MUM2" "S. cerevisiae" "MUddled Meiosis" "1101" "YBR057C" "S000000261" "ORF"
"YNL213C" "OTHER" "1" "RRG9" "S. cerevisiae" "Required for Respiratory Growth" "645" "YNL213C" "S000005157" "ORF"
"SIS2" "OTHER" "1" "SIS2" "S. cerevisiae" "SIt4 Suppressor" "1689" "YKR072C" "S000001780" "ORF"
"HHT1" "OTHER" "1" "HHT1" "S. cerevisiae" "Histone H Three" "411" "YBR010W" "S000000214" "ORF"
"PBS2" "OTHER" "1" "PBS2" "S. cerevisiae" "Polymyxin B Sensitivity" "2007" "YJL128C" "S000003664" "ORF"
"POC4" "OTHER" "1" "POC4" "S. cerevisiae" "PrOteasome Chaperone" "447" "YPL144W" "S000006065" "ORF"
"YER064C" "OTHER" "1" "VHR2" "S. cerevisiae" "VHt1 Regulator" "1518" "YER064C" "S000000866" "ORF"
"DPB4" "OTHER" "1" "DPB4" "S. cerevisiae" "DNA Polymerase B (II) subunit" "591" "YDR121W" "S000002528" "ORF"
"BUD20" "OTHER" "1" "BUD20" "S. cerevisiae" "BUD site selection" "501" "YLR074C" "S000004064" "ORF"
"RTT103" "OTHER" "1" "RTT103" "S. cerevisiae" "Regulator of Ty1 Transposition" "1230" "YDR289C" "S000002697" "ORF"
"SWD3" "OTHER" "1" "SWD3" "S. cerevisiae" "Set1c, WD40 repeat protein" "948" "YBR175W" "S000000379" "ORF"
"YOL138C" "OTHER" "1" "RTC1" "S. cerevisiae" "Restriction of Telomere Capping" "4026" "YOL138C" "S000005498" "ORF"
"URC2" "OTHER" "1" "URC2" "S. cerevisiae" "URacil Catabolism" "2319" "YDR520C" "S000002928" "ORF"
"URA7" "OTHER" "1" "URA7" "S. cerevisiae" "URAcil requiring" "1740" "YBL039C" "S000000135" "ORF"
"BRE2" "OTHER" "1" "BRE2" "S. cerevisiae" "BREfeldin A sensitivity" "1518" "YLR015W" "S000004005" "ORF"
"FZF1" "OTHER" "1" "FZF1" "S. cerevisiae" "Five Zinc Fingers" "900" "YGL254W" "S000003223" "ORF"
"RPA12" "OTHER" "1" "RPA12" "S. cerevisiae" "RNA Polymerase A" "378" "YJR063W" "S000003824" "ORF"
"USA1" "OTHER" "1" "USA1" "S. cerevisiae" "U1-Snp1 Associating" "2517" "YML029W" "S000004491" "ORF"
"YNR004W" "OTHER" "1" "SWM2" "S. cerevisiae" "Synthetic With mud2-delta" "441" "YNR004W" "S000005287" "ORF"
"LTV1" "OTHER" "1" "LTV1" "S. cerevisiae" "Low Temperature Viability" "1392" "YKL143W" "S000001626" "ORF"
"PDR3" "OTHER" "1" "PDR3" "S. cerevisiae" "Pleiotropic Drug Resistance" "2931" "YBL005W" "S000000101" "ORF"
"SET5" "OTHER" "1" "SET5" "S. cerevisiae" "SET domain-containing" "1581" "YHR207C" "S000001250" "ORF"
"PEP3" "OTHER" "1" "PEP3" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "2757" "YLR148W" "S000004138" "ORF"
"PUF4" "OTHER" "1" "PUF4" "S. cerevisiae" "PUmilio-homology domain Family" "2667" "YGL014W" "S000002982" "ORF"
"POG1" "OTHER" "1" "POG1" "S. cerevisiae" "Promoter Of Growth" "1056" "YIL122W" "S000001384" "ORF"
"CMK2" "OTHER" "1" "CMK2" "S. cerevisiae" "CalModulin dependent protein Kinase" "1344" "YOL016C" "S000005376" "ORF"
"USA1" "OTHER" "1" "USA1" "S. cerevisiae" "U1-Snp1 Associating" "2517" "YML029W" "S000004491" "ORF"
"APN2" "OTHER" "1" "APN2" "S. cerevisiae" "APurinic/apyrimidinic eNdonuclease" "1563" "YBL019W" "S000000115" "ORF"
"SRP40" "OTHER" "1" "SRP40" "S. cerevisiae" "Serine Rich Protein" "1221" "YKR092C" "S000001800" "ORF"
"FKH1" "OTHER" "1" "FKH1" "S. cerevisiae" "ForK head Homolog" "1455" "YIL131C" "S000001393" "ORF"
"SLA1" "OTHER" "1" "SLA1" "S. cerevisiae" "Synthetic Lethal with ABP1" "3735" "YBL007C" "S000000103" "ORF"
"BRO1" "OTHER" "1" "BRO1" "S. cerevisiae" "BCK1-like Resistance to Osmotic shock" "2535" "YPL084W" "S000006005" "ORF"
"RSA1" "OTHER" "1" "RSA1" "S. cerevisiae" "RiboSome Assembly" "1146" "YPL193W" "S000006114" "ORF"
"IRA1" "OTHER" "1" "IRA1" "S. cerevisiae" "Inhibitory Regulator of the RAS-cAMP pathway" "9279" "YBR140C" "S000000344" "ORF"
"SOK2" "OTHER" "1" "SOK2" "S. cerevisiae" "Suppressor Of Kinase" "2358" "YMR016C" "S000004618" "ORF"
"EAF6" "OTHER" "1" "EAF6" "S. cerevisiae" "Esa1p-Associated Factor" "342" "YJR082C" "S000003842" "ORF"
"NPL6" "OTHER" "1" "NPL6" "S. cerevisiae" "Nuclear Protein Localization" "1308" "YMR091C" "S000004697" "ORF"
"SAP30" "OTHER" "1" "SAP30" "S. cerevisiae" "Sin3-Associated Polypeptide" "606" "YMR263W" "S000004876" "ORF"
"ZWF1" "OTHER" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"MET18" "OTHER" "1" "MET18" "S. cerevisiae" "METhionine requiring" "3099" "YIL128W" "S000001390" "ORF"
